Video,Views,Current avg/day
Bruno Mars - The Lazy Song (Official Video),1799194871,682933
"LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem (Official Video)",1755394098,655848
Christina Perri - A Thousand Years [Official Music Video],1492034219,722968
Jennifer Lopez - On The Floor ft. Pitbull,1490975619,633306
Adele - Someone Like You,1452904901,354303
Gotye - Somebody That I Used To Know (feat. Kimbra) - official music video,1356911164,749874
Coldplay - Paradise (Official Video),1235873696,406114
Katy Perry - Last Friday Night (T.G.I.F.),1217332302,356536
David Guetta - Titanium ft. Sia (Official Video),1214744152,589533
One Direction - What Makes You Beautiful (Official Video),1116173497,208897
Pitbull - Rain Over Me ft. Marc Anthony (Official Video),988198106,141295
Michel Teló - Ai Se Eu Te Pego - Video Oficial (Assim você me mata),896467231,76447
Rihanna - We Found Love ft. Calvin Harris,890051952,133986
"हनुमान चालीसा Hanuman Chalisa I GULSHAN KUMAR I HARIHARAN, Full HD Video I Shree Hanuman Chalisa",839311287,1482424
Nicki Minaj - Super Bass,810636463,107536
4 Non Blondes - What's Up (Official Video),800343876,363351
Coldplay - The Scientist,785617445,380809
#Jesse&Joy - ¡Corre!,742218243,249493
Katy Perry - The One That Got Away (Official),724824402,99101
Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],724366436,398850
LMFAO - Sexy and I Know It (Official Video),723258175,213894
Pitbull - Give Me Everything,708381562,164763
Dr. Dre ft. Snoop Dogg - Still D.R.E. (Official Video),707045941,304459
Pitbull ft. Chris Brown - International Love (Official Video),706452634,84809
Rihanna - Man Down,693459779,145722
Jessie J - Price Tag ft. B.o.B,678552092,117609
Maroon 5 - Moves Like Jagger ft. Christina Aguilera (Official Music Video),654370021,124741
R.E.M. - Losing My Religion (Official Music Video),630169500,193935
Bruno Mars - It Will Rain (Official Video),598950842,139234
Foster The People - Pumped up Kicks (Official Music Video),598630349,186881
Michael Jackson - Beat It (Official Video),568137645,204521
Adele - Set Fire To The Rain (Live at The Royal Albert Hall),556855192,136266
Selena Gomez & The Scene - Love You Like A Love Song,550668529,87125
Don Omar - Taboo,550595728,186580
Katy Perry - E.T. (Official) ft. Kanye West,546592114,84669
"Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video]",513704070,221045
"Chris Brown - Look At Me Now ft. Lil Wayne, Busta Rhymes",471874914,79937
HA-ASH - Te Dejo En Libertad (En Vivo),469268518,93320
Avicii - Levels,467904768,118456
Beyoncé - Run the World (Girls) (Video - Main Version),465004227,71712
Red Hot Chili Peppers - Otherside [Official Music Video],449255672,265405
"Wiz Khalifa - Black And Yellow [G-Mix] ft. Snoop Dogg, Juicy J & T-Pain",445453747,198562
Lana Del Rey - Born To Die (Official Music Video),437541430,102920
Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO],434810827,143882
Coldplay - Yellow,421812734,228350
Skrillex - First Of The Year (Equinox) [Official Music Video],420414326,48800
Beyoncé - Love On Top (Video Edit),408075712,84833
حلا الترك و مشاعل بنيتي الحبوبة | Hala Alturk & Mashael - Bnayty ElHabooba,406054366,433263
Flo Rida - Good Feeling [Official Video],404814518,94345
Jennifer Lopez - Papi (Official Video),402224868,201650
[OFFICIAL MV FULL HD]_XÚC XẮC XÚC XẺ - BÉ BẢO AN ft PHI LONG,393602604,37460
Justin Bieber - Mistletoe (Official Music Video),387413109,24452
Cali Y El Dandee - Yo Te Esperaré,386171405,93638
Zoé - Labios Rotos (MTV Unplugged),383326315,92442
"Dr. Dre ft. Eminem, Skylar Grey - I Need A Doctor (Explicit) [Official Video]",382722590,66955
Avril Lavigne - Wish You Were Here (Official Music Video),377493095,51050
Coldplay - Fix You,367079632,177165
Yuridia - Ya Te Olvidé (Video Oficial),364485269,126023
Lady Antebellum - Need You Now (Official Music Video),361018577,169435
Sean Paul - She Doesn't Mind (Official Video),353604796,118402
Sean Paul - Got 2 Luv U (feat. Alexis Jordan) [Official Video],348888079,93396
Kelly Clarkson - Stronger (What Doesn't Kill You) [Official Video],343375930,78488
Lady Gaga - Judas,342232507,51438
Beyoncé - Best Thing I Never Had (Video),342159506,54747
David Guetta - Without You ft. Usher (Official Video),341684242,76872
Axel - Te Voy A Amar,331570124,47817
Avril Lavigne - What The Hell (Official Music Video),328271490,33437
"Bum Bum Bole (Full Song) Film - Taare Zameen Par | Shaan, Aamir Khan",327382292,471510
Franco De Vita - Tan Sólo Tú (Live) ft. Alejandra Guzmán,315011359,84081
Maná - Amor Clandestino (Video Oficial),314170316,115104
Jessie J - Domino,303075758,40372
Selena Gomez & The Scene - Who Says,302032313,29609
Eminem - Space Bound (Official Video),301286263,55988
Juan Gabriel - Hasta Que Te Conocí (En Vivo [Desde el Instituto Nacional de Bellas Artes]),295887374,191571
Wiz Khalifa - Roll Up [Official Music Video],291799487,46066
Jennifer Lopez - I'm Into You ft. Lil Wayne,289838752,69403
Coldplay - Clocks (Official Video),288734853,111978
"David Guetta - Where Them Girls At ft. Nicki Minaj, Flo Rida (Official Video)",285085624,50718
Maher Zain - Ya Nabi Salam Alayka (Arabic) | ماهر زين - يا نبي سلام عليك | Official Music Video,280755101,155256
M83 'Midnight City' Official video,280562973,81030
Rihanna - California King Bed,275695946,32021
Red Hot Chili Peppers - Scar Tissue [Official Music Video],275662501,95619
DADDY YANKEE | LLEGAMOS A LA DISCO (Video Oficial),273486840,149828
"Lal Dupatta Full HD Song | Mujhse Shaadi Karogi | Salman Khan, Priyanka Chopra",272105084,380206
Ed Sheeran - Lego House [Official Video],270925160,50876
Marc Anthony - A Quién Quiero Mentirle (Video),266991370,70019
Chris Brown - Next To You (Official Music Video) ft. Justin Bieber,261845937,33037
The Notorious B.I.G. - Juicy (Official Music Video),257281378,191483
Demi Lovato - Skyscraper (Official Video),257272867,29042
Romeo Santos - Promise ft. Usher,255701791,56263
Lady Gaga - Born This Way,255263718,42511
Britney Spears - I Wanna Go (Official Music Video),251596476,26422
Shakira - Rabiosa (Official Music Video) ft. Pitbull,251346883,35184
2NE1 - 내가 제일 잘 나가(I AM THE BEST) M/V,250917491,72146
LMFAO - Champagne Showers ft. Natalia Kills,247727113,28687
Backstreet Boys - As Long As You Love Me (Clive's Cut) (Official Music Video),245213386,98048
The Black Eyed Peas - Just Can't Get Enough (Official Music Video),244472150,25342
2Pac - Dear Mama (Official Music Video),239207539,90800
Girls' Generation 소녀시대 'The Boys' MV (KOR Ver.),232747907,53366
Calvin Harris - Feel So Close (Official Video),231149132,54384
